단어,단어 뜻,예문,예문 뜻
bird,새,A bird is in the tree.,새가 나무에 있다.
idea,생각,Matt has a good idea.,맷에게 좋은 생각이 있다.
wing,날개,Chickens have wings.,닭은 날개를 가지고 있다.
wind,바람,The wind was strong.,바람이 강했다.
car,자동차,Is this your car?,이것은 네 차니?
sky,하늘,Look at the sky.,하늘을 봐.
airplane,비행기,The airplane is in the sky.,비행기가 하늘에 있다.
cousin,사촌,My cousin is kind.,내 사촌은 친절하다.
notebook,공책,Do you have a new notebook?,너는 새 공책이 있니?
vacation,방학,I like summer vacation.,나는 여름 방학이 좋다.
museum,박물관,Where is the museum?,박물관이 어디에 있니?
animal,동물,Kevin loves animals.,케빈은 동물을 정말 좋아한다.
horse,말,What do horses eat?,말은 무엇을 먹니?
grass,잔디,Don’t sit on the grass.,잔디 위에 앉지 마.
white,흰,Look at that white rabbit.,저 흰 토끼를 봐.
building,건물,The building is very old.,그 건물은 매우 오래되었다.
prize,상,The prize was yellow socks.,상은 노란 양말이었다.
tomorrow,내일,Let's meet at two tomorrow.,내일 두 시에 만나자.
hello,안녕하세요,"Hello, my name is Susan.","안녕하세요, 제 이름은 수잔입니다."
early,일찍,I get up early in the morning.,나는 아침에 일찍 일어난다.
present,선물,This present is for you.,이 선물은 너를 위한 거야.
sister,여동생,Is your sister cute?,네 여동생은 귀엽니?
name,이름,Her name is Lucy.,그녀의 이름은 루시야.
story,이야기,The story was fun.,그 이야기는 재미있었다.
daughter,딸,Do they have a daughter?,그들은 딸이 한 명 있니?
day,날,Do you like rainy days?,너는 비 오는 날을 좋아하니?
place,장소,It's a good place for a picnic.,그곳은 소풍을 가기 좋은 장소이다.
musical,뮤지컬,The musical was sad.,그 뮤지컬은 슬펐다. 
actress,여배우,Is the actress kind?,그 여배우는 친절하니?
boots,부츠,My boots are blue.,내 부츠는 파란색이다. 
problem,문제,What is the problem?,문제가 뭐니?
woman,여자,The woman found my key.,그 여자가 내 열쇠를 찾았다.
hat,모자,Where is my hat?,내 모자가 어디에 있니?
clothes,옷,Tony bought new clothes today.,토니는 오늘 새 옷을 샀다.
computer,컴퓨터,Can you use a computer?,너는 컴퓨터를 사용할 수 있니?
school,학교,I go to school at 8.,나는 여덟 시에 학교에 간다.
news,소식,That's great news.,그것은 좋은 소식이구나.
week,일주일,A week has seven days.,일주일은 7일이다.
answer,정답,Do you know the answer?,너는 정답을 아니? 
time,시간,We don't have much time.,우리는 시간이 많지 않다.
ticket,표,Did you buy the ticket?,너는 표를 샀니?
circle,동그라미,Draw a circle on the paper.,종이 위에 동그라미를 그려라.
dress,드레스,Do you have a long dress?,너는 긴 드레스를 가지고 있니?
word,단어,Write the word on the blackboard.,칠판에 단어를 써 봐.
classroom,교실,There are classrooms on the fourth floor.,4 층에 교실이 있다. 
spaceship,우주선,We can travel by spaceship.,우리는 우주선을 타고 여행할 수 있다.
air,공기,Is the air cold and dry in winter?,겨울에 공기가 차갑고 건조하니?
morning,아침,I get up at 7 in the morning.,나는 아침 일곱 시에 일어난다.
earth,지구,The earth is getting warmer.,지구가 더 따뜻해지고 있다.
speech,연설,Did you understand his speech?,너는 그의 연설을 이해했니?
